"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"06.11.2025","1,3429","1,3851","1,4272","1,3165","13,49M","-3,07%"
"05.11.2025","1,3855","1,3608","1,4361","1,2528","13,40M","1,79%"
"04.11.2025","1,3612","1,4609","1,4704","1,2792","20,25M","-6,74%"
"03.11.2025","1,4596","1,6718","1,6912","1,3356","26,45M","-12,73%"
"02.11.2025","1,6725","1,8383","1,8487","1,6094","18,72M","-8,81%"
"01.11.2025","1,8340","1,3559","1,8973","1,3434","47,12M","34,89%"
"31.10.2025","1,3596","1,2483","1,4616","1,2483","16,72M","8,32%"
"30.10.2025","1,2552","1,5183","1,5538","1,2073","20,48M","-17,19%"
"29.10.2025","1,5158","1,4983","1,5945","1,4365","16,18M","1,28%"
"28.10.2025","1,4967","1,4326","1,6771","1,3670","24,05M","4,46%"
"27.10.2025","1,4328","1,5214","1,6457","1,4043","22,41M","-5,23%"
"26.10.2025","1,5119","1,3141","1,5694","1,1802","25,76M","14,72%"
"25.10.2025","1,3179","1,0001","1,3843","0,9740","33,09M","31,24%"
"24.10.2025","1,0042","0,7842","1,0089","0,7778","13,66M","28,15%"
"23.10.2025","0,7836","0,7360","0,7961","0,7310","1,40M","6,47%"
"22.10.2025","0,7360","0,7739","0,7829","0,7138","2,09M","-4,95%"
"21.10.2025","0,7743","0,7966","0,8514","0,7594","2,31M","-2,82%"
"20.10.2025","0,7968","0,7910","0,8382","0,7737","1,56M","0,67%"
"19.10.2025","0,7915","0,7526","0,8078","0,7433","1,41M","5,14%"
"18.10.2025","0,7528","0,7422","0,7744","0,7370","1,02M","1,41%"
"17.10.2025","0,7423","0,7667","0,7861","0,6952","3,31M","-3,23%"
"16.10.2025","0,7671","0,7737","0,8633","0,7544","6,25M","-0,90%"
"15.10.2025","0,7741","0,8194","0,8362","0,7587","1,61M","-5,59%"
"14.10.2025","0,8199","0,8702","0,8788","0,7615","3,54M","-5,74%"
"13.10.2025","0,8698","0,7886","0,8791","0,7671","5,28M","10,30%"
"12.10.2025","0,7886","0,7064","0,8122","0,6751","3,69M","11,72%"
"11.10.2025","0,7059","0,7249","0,7588","0,6645","4,84M","-2,70%"
"10.10.2025","0,7255","1,0517","1,0852","0,2837","9,39M","-31,00%"
"09.10.2025","1,0515","1,1269","1,1298","1,0267","2,55M","-6,66%"
"08.10.2025","1,1265","1,0866","1,1424","1,0592","2,96M","3,63%"
"07.10.2025","1,0870","1,1685","1,1836","1,0816","3,63M","-7,02%"
"06.10.2025","1,1691","1,0847","1,1791","1,0720","2,35M","7,77%"
"05.10.2025","1,0848","1,1084","1,1589","1,0776","1,82M","-2,16%"
"04.10.2025","1,1087","1,1405","1,1484","1,0802","1,01M","-2,76%"
"03.10.2025","1,1402","1,1594","1,1706","1,1132","2,89M","-1,65%"
"02.10.2025","1,1593","1,0891","1,1721","1,0799","3,04M","6,53%"
"01.10.2025","1,0882","1,0140","1,1009","1,0053","2,49M","7,44%"
"30.09.2025","1,0128","1,0287","1,0321","0,9737","2,20M","-1,51%"
"29.09.2025","1,0283","1,0519","1,0561","1,0089","1,84M","-2,35%"
"28.09.2025","1,0531","1,0239","1,0608","0,9916","1,35M","2,87%"
"27.09.2025","1,0237","1,0440","1,0531","1,0212","1,23M","-1,94%"
"26.09.2025","1,0439","1,0006","1,0575","0,9900","2,81M","4,34%"
"25.09.2025","1,0005","1,0901","1,0922","0,9868","4,77M","-8,20%"
"24.09.2025","1,0899","1,0851","1,1169","1,0541","2,65M","0,49%"
"23.09.2025","1,0846","1,1148","1,1189","1,0760","2,31M","-2,81%"
"22.09.2025","1,1160","1,2224","1,2303","1,0586","5,69M","-8,77%"
"21.09.2025","1,2233","1,2605","1,2741","1,2212","1,33M","-2,97%"
"20.09.2025","1,2608","1,2579","1,2926","1,2444","1,69M","0,21%"
"19.09.2025","1,2581","1,3589","1,3629","1,2475","2,34M","-7,39%"
"18.09.2025","1,3585","1,3609","1,3881","1,3219","3,76M","-0,14%"
"17.09.2025","1,3604","1,2455","1,3751","1,2177","4,74M","9,23%"
"16.09.2025","1,2455","1,2253","1,2576","1,2085","2,11M","1,62%"
"15.09.2025","1,2257","1,2700","1,2927","1,1833","3,43M","-3,53%"
"14.09.2025","1,2706","1,3600","1,3615","1,2523","2,92M","-6,57%"
"13.09.2025","1,3600","1,3305","1,4086","1,3013","5,66M","2,17%"
"12.09.2025","1,3311","1,2837","1,3427","1,2608","3,25M","3,68%"
"11.09.2025","1,2838","1,2574","1,2858","1,2263","4,33M","2,10%"
"10.09.2025","1,2574","1,2572","1,3093","1,2380","9,08M","0,00%"
"09.09.2025","1,2574","1,2803","1,3375","1,2383","9,84M","-1,81%"
"08.09.2025","1,2806","1,1434","1,2888","1,1357","7,00M","11,98%"
"07.09.2025","1,1436","1,1105","1,1561","1,1094","1,77M","2,92%"
"06.09.2025","1,1112","1,0998","1,1202","1,0812","1,33M","1,04%"
"05.09.2025","1,0998","1,0578","1,1200","1,0574","3,24M","3,97%"
"04.09.2025","1,0578","1,1338","1,1385","1,0348","2,61M","-6,69%"
"03.09.2025","1,1336","1,0627","1,1612","1,0501","4,11M","6,69%"
"02.09.2025","1,0625","1,0267","1,0631","1,0049","3,51M","3,51%"
"01.09.2025","1,0265","1,1094","1,1265","1,0041","3,80M","-7,47%"
"31.08.2025","1,1094","1,1509","1,1697","1,1093","1,32M","-3,61%"
"30.08.2025","1,1509","1,1343","1,1635","1,1161","1,41M","1,51%"
"29.08.2025","1,1338","1,2114","1,2131","1,1110","4,00M","-6,43%"
"28.08.2025","1,2117","1,1584","1,2206","1,1458","3,11M","4,66%"
"27.08.2025","1,1578","1,1804","1,1986","1,1532","3,55M","-1,91%"
"26.08.2025","1,1804","1,1200","1,1938","1,1110","3,47M","5,60%"
"25.08.2025","1,1178","1,2336","1,2890","1,0828","8,40M","-9,36%"
"24.08.2025","1,2332","1,2838","1,3067","1,1964","4,81M","-3,94%"
"23.08.2025","1,2838","1,3267","1,3322","1,2625","3,53M","-3,22%"
"22.08.2025","1,3265","1,1845","1,3534","1,1346","8,74M","12,01%"
"21.08.2025","1,1843","1,2599","1,2694","1,1772","3,27M","-6,03%"
"20.08.2025","1,2603","1,1676","1,3044","1,1536","5,57M","7,94%"
"19.08.2025","1,1676","1,2137","1,2415","1,1498","4,91M","-3,76%"
"18.08.2025","1,2132","1,3050","1,3113","1,2020","6,73M","-7,05%"
"17.08.2025","1,3052","1,2093","1,3573","1,1998","5,16M","7,92%"
"16.08.2025","1,2094","1,1947","1,2117","1,1759","1,70M","1,15%"
"15.08.2025","1,1956","1,1880","1,2440","1,1524","4,65M","0,66%"
"14.08.2025","1,1878","1,3763","1,3985","1,1702","10,37M","-13,59%"
"13.08.2025","1,3746","1,3393","1,4114","1,3267","6,12M","2,66%"
"12.08.2025","1,3390","1,3128","1,3935","1,2844","5,88M","2,00%"
"11.08.2025","1,3127","1,4524","1,4897","1,2953","8,27M","-9,64%"
"10.08.2025","1,4528","1,4203","1,4743","1,3502","6,37M","2,25%"
"09.08.2025","1,4208","1,3715","1,4595","1,3621","5,36M","3,61%"
"08.08.2025","1,3713","1,3338","1,3781","1,3146","5,21M","2,82%"
"07.08.2025","1,3337","1,2317","1,3563","1,2112","5,73M","8,25%"
"06.08.2025","1,2321","1,1842","1,2398","1,1495","2,89M","4,04%"
"05.08.2025","1,1842","1,2578","1,2683","1,1580","3,37M","-5,84%"
"04.08.2025","1,2576","1,2204","1,2668","1,2015","2,89M","3,17%"
"03.08.2025","1,2190","1,1531","1,2455","1,1356","4,59M","5,72%"
"02.08.2025","1,1531","1,2158","1,2253","1,1311","4,25M","-5,22%"
"01.08.2025","1,2166","1,2532","1,2573","1,1725","8,66M","-2,94%"
"31.07.2025","1,2534","1,3431","1,3830","1,2503","4,34M","-6,66%"
"30.07.2025","1,3428","1,3771","1,3899","1,2564","7,00M","-2,49%"
"29.07.2025","1,3771","1,4520","1,4938","1,3318","6,75M","-5,11%"
"28.07.2025","1,4512","1,6003","1,6174","1,4251","6,09M","-9,30%"
"27.07.2025","1,6000","1,5695","1,6223","1,5660","2,86M","1,96%"
"26.07.2025","1,5693","1,5686","1,6020","1,5557","2,97M","0,06%"
"25.07.2025","1,5684","1,5414","1,5783","1,4745","7,69M","1,90%"
"24.07.2025","1,5391","1,7094","1,7202","1,5180","10,42M","-9,91%"
"23.07.2025","1,7084","1,9385","1,9385","1,6312","11,85M","-11,86%"
"22.07.2025","1,9382","1,9184","1,9541","1,7809","14,27M","1,07%"
"21.07.2025","1,9176","1,8260","1,9575","1,7648","12,87M","5,00%"
"20.07.2025","1,8262","1,7731","1,8860","1,7577","7,90M","2,99%"
"19.07.2025","1,7731","1,7439","1,7940","1,7024","3,68M","1,67%"
"18.07.2025","1,7439","1,8071","1,9198","1,6772","13,89M","-3,52%"
"17.07.2025","1,8076","1,7795","1,9198","1,7055","17,18M","1,61%"
"16.07.2025","1,7790","1,6854","1,8514","1,6269","9,21M","5,55%"
"15.07.2025","1,6854","1,6901","1,7006","1,5764","9,70M","-0,28%"
"14.07.2025","1,6901","1,7089","1,8377","1,6565","10,70M","-1,10%"
"13.07.2025","1,7089","1,7078","1,7852","1,6834","5,57M","0,06%"
"12.07.2025","1,7078","1,7136","1,7796","1,6410","5,77M","-0,34%"
"11.07.2025","1,7136","1,7615","1,8792","1,6672","11,65M","-2,62%"
"10.07.2025","1,7597","1,5599","1,7913","1,5541","11,59M","12,84%"
"09.07.2025","1,5594","1,4732","1,5770","1,4428","7,21M","5,87%"
"08.07.2025","1,4730","1,4976","1,5190","1,4310","4,66M","-1,67%"
"07.07.2025","1,4980","1,5538","1,5954","1,4662","4,41M","-3,54%"
"06.07.2025","1,5529","1,5414","1,5944","1,5176","4,42M","0,77%"
"05.07.2025","1,5411","1,5493","1,6219","1,5170","4,15M","-0,53%"
"04.07.2025","1,5493","1,6577","1,6757","1,5153","6,91M","-6,56%"
"03.07.2025","1,6580","1,6062","1,7134","1,5915","8,37M","3,19%"
