"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"05.11.2025","155.170","153.150","155.470","152.535","70,58K","1,46%"
"04.11.2025","152.944","152.050","153.255","151.760","44,99K","0,03%"
"03.11.2025","152.894","152.455","153.300","151.970","53,54K","0,54%"
"31.10.2025","152.078","151.510","152.260","151.355","49,23K","0,49%"
"30.10.2025","151.340","150.990","151.785","149.905","53,67K","0,09%"
"29.10.2025","151.204","150.450","151.735","149.815","66,69K","0,78%"
"28.10.2025","150.033","149.565","150.520","149.060","39,16K","0,18%"
"27.10.2025","149.760","150.070","150.740","149.475","47,52K","0,55%"
"24.10.2025","148.935","148.850","150.075","148.205","40,83K","0,18%"
"23.10.2025","148.672","147.975","149.120","147.780","46,94K","0,66%"
"22.10.2025","147.693","147.105","147.990","146.570","44,90K","0,51%"
"21.10.2025","146.938","147.185","147.730","146.650","50,98K","-0,32%"
"20.10.2025","147.415","146.215","148.205","146.210","45,74K","0,83%"
"17.10.2025","146.208","144.790","146.525","144.090","49,94K","0,75%"
"16.10.2025","145.114","145.640","146.195","144.340","62,66K","1,76%"
"15.10.2025","142.600","142.095","142.955","140.960","27,53K","0,64%"
"14.10.2025","141.688","140.525","142.690","140.505","55,76K","-0,10%"
"13.10.2025","141.830","141.300","142.450","141.270","43,88K","0,74%"
"10.10.2025","140.786","142.050","142.675","140.060","74,01K","-0,89%"
"09.10.2025","142.049","142.295","143.800","141.820","54,23K","-0,31%"
"08.10.2025","142.490","141.820","142.750","141.620","52,00K","0,50%"
"07.10.2025","141.777","143.695","143.895","141.420","62,43K","-1,66%"
"06.10.2025","144.170","144.805","145.310","143.820","53,59K","-0,37%"
"03.10.2025","144.701","145.000","145.160","144.205","51,93K","0,03%"
"02.10.2025","144.658","146.705","147.280","144.255","62,30K","-1,06%"
"01.10.2025","146.211","147.245","148.120","145.810","61,94K","-0,64%"
"30.09.2025","147.148","147.440","148.425","146.605","44,69K","-0,10%"
"29.09.2025","147.289","146.735","148.930","146.630","40,00K","0,61%"
"26.09.2025","146.395","146.430","147.170","145.975","42,58K","0,05%"
"25.09.2025","146.328","148.300","148.690","146.115","69,25K","-0,85%"
"24.09.2025","147.587","147.610","148.985","147.165","49,66K","-0,06%"
"23.09.2025","147.669","146.055","148.365","146.045","72,31K","1,01%"
"22.09.2025","146.191","146.635","146.755","145.245","53,25K","-0,56%"
"19.09.2025","147.011","146.710","147.715","146.475","50,68K","0,19%"
"18.09.2025","146.736","147.120","147.385","146.330","47,17K","-0,22%"
"17.09.2025","147.061","145.460","148.305","145.130","110,04K","1,06%"
"16.09.2025","145.523","145.650","146.245","145.060","68,68K","0,30%"
"15.09.2025","145.081","144.000","145.805","143.965","56,98K","0,88%"
"12.09.2025","143.814","144.495","144.870","143.555","40,48K","-0,73%"
"11.09.2025","144.873","144.130","145.685","143.360","64,15K","0,52%"
"10.09.2025","144.129","143.835","144.910","142.970","65,55K","0,50%"
"09.09.2025","143.409","143.900","144.465","143.340","55,09K","-0,15%"
"08.09.2025","143.618","144.795","145.010","143.150","61,08K","-0,72%"
"05.09.2025","144.653","143.065","145.470","143.065","63,54K","1,14%"
"04.09.2025","143.024","141.765","143.485","141.560","53,35K","0,80%"
"03.09.2025","141.884","142.555","142.785","141.600","57,18K","-0,43%"
"02.09.2025","142.490","142.500","143.255","141.625","74,82K","-0,75%"
"01.09.2025","143.561","143.840","144.240","143.045","44,44K","-0,22%"
"29.08.2025","143.883","143.095","144.755","142.870","59,03K","0,19%"
"28.08.2025","143.611","142.135","144.660","141.840","77,22K","1,36%"
"27.08.2025","141.679","139.960","141.750","139.550","58,59K","0,97%"
"26.08.2025","140.316","140.495","140.720","139.455","57,29K","-0,18%"
"25.08.2025","140.564","140.670","141.545","140.165","67,39K","-0,08%"
"22.08.2025","140.671","137.285","140.920","136.935","81,45K","2,64%"
"21.08.2025","137.049","136.790","137.855","135.915","73,96K","-0,16%"
"20.08.2025","137.264","136.900","137.660","136.480","85,03K","0,27%"
"19.08.2025","136.894","140.110","140.115","136.260","118,31K","-2,36%"
"18.08.2025","140.206","139.315","140.820","138.990","64,88K","0,58%"
"15.08.2025","139.397","139.400","140.550","138.405","53,69K","0,08%"
"14.08.2025","139.290","139.385","140.450","138.500","82,81K","1,75%"
"13.08.2025","136.890","138.150","138.360","136.545","9,73K","-0,81%"
"12.08.2025","138.013","136.305","138.490","136.075","59,22K","1,69%"
"11.08.2025","135.719","136.135","136.430","135.525","57,34K","-0,20%"
"08.08.2025","135.992","136.810","136.810","135.725","90,33K","-0,60%"
"07.08.2025","136.818","135.185","137.260","135.040","71,32K","1,51%"
"06.08.2025","134.783","133.765","135.570","133.765","66,45K","0,96%"
"05.08.2025","133.504","132.840","134.640","132.610","68,70K","0,09%"
"04.08.2025","133.389","133.200","134.570","132.835","61,95K","0,35%"
"01.08.2025","132.928","132.840","135.455","132.580","60,35K","-0,42%"
"31.07.2025","133.487","134.060","134.190","132.525","61,48K","-0,79%"
"30.07.2025","134.544","133.515","135.820","132.500","91,91K","0,92%"
"29.07.2025","133.311","133.225","134.100","132.770","48,35K","0,30%"
"28.07.2025","132.907","134.190","134.865","132.340","41,21K","-1,07%"
"25.07.2025","134.345","134.420","135.525","134.095","42,08K","-0,19%"
"24.07.2025","134.600","136.005","136.135","134.510","39,87K","-1,27%"
"23.07.2025","136.338","135.615","136.800","134.530","45,34K","0,85%"
"22.07.2025","135.184","135.310","136.375","134.815","36,71K","-0,12%"
"21.07.2025","135.348","134.320","136.030","134.050","54,21K","0,63%"
"18.07.2025","134.502","136.470","136.470","134.345","53,39K","-1,74%"
"17.07.2025","136.886","136.415","137.055","135.635","39,43K","-0,01%"
"16.07.2025","136.903","136.605","137.265","135.530","54,32K","0,13%"
"15.07.2025","136.731","136.815","137.525","135.650","62,44K","-0,01%"
"14.07.2025","136.748","137.440","137.725","136.225","38,24K","-0,76%"
"11.07.2025","137.801","138.195","138.240","137.010","44,30K","-0,37%"
"10.07.2025","138.319","137.485","138.845","136.780","73,55K","-0,59%"
"09.07.2025","139.145","141.280","141.325","137.205","67,36K","-1,36%"
"08.07.2025","141.064","141.650","141.850","140.545","49,72K","-0,23%"
"07.07.2025","141.391","143.385","143.410","141.145","47,72K","-1,33%"
"04.07.2025","143.297","142.850","143.800","142.425","28,27K","0,11%"
"03.07.2025","143.138","141.425","143.440","140.885","50,85K","1,43%"
"02.07.2025","141.122","141.680","142.160","140.390","51,66K","-0,48%"
"01.07.2025","141.800","140.760","141.975","140.730","49,59K","0,42%"
"30.06.2025","141.203","139.550","141.600","138.035","54,28K","1,50%"
"27.06.2025","139.110","139.230","139.715","138.305","47,96K","-0,23%"
"26.06.2025","139.433","138.415","139.740","138.360","58,79K","0,94%"
"25.06.2025","138.133","139.335","139.370","137.745","52,68K","-1,07%"
"24.06.2025","139.633","139.775","140.665","138.645","55,68K","0,37%"
"23.06.2025","139.122","139.730","139.935","138.325","52,59K","-0,36%"
"20.06.2025","139.621","141.615","141.730","139.310","88,46K","0,57%"
