Data,Último,Abertura,Máxima,Mínima,Vol.,Var%
02/12/2025,167.200,165.800,168.500,165.500,88.400K,0,84%
03/12/2025,168.500,167.200,169.800,167.000,92.100K,0,78%
04/12/2025,169.200,168.500,170.400,168.200,86.700K,0,42%
05/12/2025,170.800,169.200,172.100,169.000,95.300K,0,95%
06/12/2025,171.500,170.800,172.900,170.500,89.800K,0,41%
09/12/2025,172.300,171.500,173.800,171.200,93.600K,0,47%
10/12/2025,171.900,172.300,173.500,171.400,87.200K,-0,23%
11/12/2025,173.400,171.900,174.700,171.700,98.500K,0,87%
12/12/2025,174.200,173.400,175.600,173.100,91.400K,0,46%
13/12/2025,173.800,174.200,175.300,173.500,85.900K,-0,23%
