Data,Último,Abertura,Máxima,Mínima,Vol.,Var%
16/12/2025,175.100,173.800,176.400,173.600,102.300K,0,75%
17/12/2025,176.500,175.100,177.800,175.000,96.800K,0,80%
18/12/2025,177.200,176.500,178.600,176.300,89.700K,0,40%
19/12/2025,178.800,177.200,180.100,177.000,108.500K,0,90%
20/12/2025,179.500,178.800,181.200,178.600,94.200K,0,39%
23/12/2025,180.300,179.500,182.000,179.300,87.600K,0,45%
26/12/2025,181.200,180.300,182.900,180.100,78.900K,0,50%
27/12/2025,182.500,181.200,184.100,181.000,91.200K,0,72%
30/12/2025,183.800,182.500,185.400,182.300,105.700K,0,71%
31/12/2025,184.500,183.800,186.200,183.600,98.400K,0,38%
