Par,Moeda_Base,Moeda_Cotada,Carry_%,Carry_Rating,Divergencia_Politica,Preco_Atual,Entrada,Stop,TP1,TP2,Tendencia,R_R,Correlacao_WIN,Sentimento,Confianca_%,Recomendacao,Par_Alternativo,Timestamp
USD/JPY,USD,JPY,5.5,excelente,forte,153.85899353027344,153.08969856262206,151.55110862731934,156.16687843322754,158.47476333618164,lateral,1.0,negativo_moderado,0.017241379310344827,70,APROVAR_LONG,,2025-11-05 23:29:29
AUD/JPY,AUD,JPY,3.6,excelente,moderada,100.1520004272461,99.65124042510986,98.6497204208374,101.65428043365478,103.15656044006347,lateral,0.9999999999999906,neutro,0.017241379310344827,67,APROVAR_TÁTICO,AUD/BRL,2025-11-05 23:29:29
GBP/JPY,GBP,JPY,4.0,excelente,moderada,200.9720001220703,199.96714012145995,197.95742012023925,203.98658012390135,207.00116012573244,lateral,0.9999999999999906,neutro,0.017241379310344827,67,APROVAR_TÁTICO,GBP/BRL,2025-11-05 23:29:29
EUR/JPY,EUR,JPY,3.5,excelente,fraca,177.052001953125,176.16674194335937,174.39622192382814,179.70778198242186,182.36356201171876,lateral,1.0,neutro,0.017241379310344827,56,APROVAR_TÁTICO,,2025-11-05 23:29:29
GBP/NZD,GBP,NZD,1.5,bom,moderada,2.3049700260162354,2.2934451758861543,2.2703954756259916,2.3395445764064786,2.3741191267967223,lateral,0.9999999999999871,neutro,0.017241379310344827,56,APROVAR_TÁTICO,GBP/BRL,2025-11-05 23:29:29
NZD/JPY,NZD,JPY,2.5,bom,fraca,87.18000030517578,86.7441003036499,85.87230030059814,88.48770030975341,89.79540031433106,lateral,0.9999999999999891,neutro,0.017241379310344827,47,DESCARTAR,NZD/BRL,2025-11-05 23:29:29
AUD/NZD,AUD,NZD,1.1,moderado,moderada,1.1486599445343018,1.1429166448116301,1.131430045366287,1.1658898437023162,1.1831197428703308,lateral,0.9999999999999871,neutro,0.017241379310344827,47,DESCARTAR,AUD/BRL,2025-11-05 23:29:29
EUR/GBP,EUR,GBP,-0.5,neutro,moderada,0.8809300065040588,0.8765253564715385,0.867716056406498,0.8941439566016196,0.9073579066991806,lateral,0.9999999999999916,neutro,0.017241379310344827,37,DESCARTAR,JPY/BRL,2025-11-05 23:29:29
EUR/AUD,EUR,AUD,-0.10000000000000009,neutro,moderada,1.7676399946212769,1.7588017946481704,1.7411253947019576,1.794154594540596,1.8206691944599152,lateral,0.9999999999999917,neutro,0.017241379310344827,37,DESCARTAR,JPY/BRL,2025-11-05 23:29:29
EUR/NZD,EUR,NZD,1.0,moderado,fraca,2.0306499004364014,2.0204966509342195,2.0001901519298553,2.061109648942947,2.0915693974494936,lateral,0.9999999999999855,neutro,0.017241379310344827,37,DESCARTAR,,2025-11-05 23:29:29
EUR/USD,EUR,USD,-2.0,negativo,forte,1.151012897491455,1.1452578330039977,1.1337477040290833,1.1682780909538268,1.1855432844161988,lateral,1.0,negativo_moderado,0.017241379310344827,30,DESCARTAR,JPY/BRL,2025-11-05 23:29:29
NZD/USD,NZD,USD,-3.0,negativo,forte,0.5668291449546814,0.563994999229908,0.5583267077803612,0.5753315821290016,0.5838340193033219,lateral,1.0,negativo_moderado,0.017241379310344827,30,DESCARTAR,NZD/BRL,2025-11-05 23:29:29
EUR/CHF,EUR,CHF,0.0,desconhecido,moderada,0.9309099912643433,0.9262554413080215,0.9169463413953781,0.9448736411333083,0.9588372910022736,lateral,0.999999999999992,neutro,0.017241379310344827,27,DESCARTAR,,2025-11-05 23:29:29
CHF/JPY,CHF,JPY,0.0,desconhecido,moderada,190.1739959716797,189.2231259918213,187.3213860321045,193.02660591125488,195.8792158508301,lateral,1.0,neutro,0.017241379310344827,27,DESCARTAR,,2025-11-05 23:29:29
EUR/CAD,EUR,CAD,0.0,desconhecido,moderada,1.622380018234253,1.6142681181430816,1.598044317960739,1.6467157185077665,1.6710514187812806,lateral,0.9999999999999909,neutro,0.017241379310344827,27,DESCARTAR,,2025-11-05 23:29:29
CAD/JPY,CAD,JPY,0.0,desconhecido,moderada,109.12000274658203,108.57440273284912,107.4832027053833,110.75680278778076,112.3936028289795,lateral,1.0,neutro,0.017241379310344827,27,DESCARTAR,,2025-11-05 23:29:29
GBP/AUD,GBP,AUD,0.3999999999999999,neutro,fraca,2.0064899921417236,1.996457542181015,1.9763926422595977,2.036587342023849,2.0666846919059756,lateral,0.9999999999999852,neutro,0.017241379310344827,27,DESCARTAR,GBP/BRL,2025-11-05 23:29:29
NZD/CAD,NZD,CAD,0.0,desconhecido,moderada,0.7988499999046326,0.7948557499051094,0.786867249906063,0.810832749903202,0.8228154999017716,lateral,0.9999999999999908,neutro,0.017241379310344827,27,DESCARTAR,NZD/BRL,2025-11-05 23:29:29
NZD/CHF,NZD,CHF,0.0,desconhecido,moderada,0.4583500027656555,0.45605825275182726,0.4514747527241707,0.46522525280714033,0.4721005028486252,lateral,1.0,neutro,0.017241379310344827,27,DESCARTAR,NZD/BRL,2025-11-05 23:29:29
BTC/EUR,BTC,EUR,0.0,desconhecido,moderada,89399.3671875,88952.3703515625,88058.3766796875,90740.35769531249,92081.348203125,lateral,0.9999999999999891,neutro,0.017241379310344827,27,DESCARTAR,,2025-11-05 23:29:29
GBP/USD,GBP,USD,-1.5,negativo,moderada,1.306267499923706,1.2997361624240875,1.2866734874248504,1.3258615124225615,1.3454555249214173,lateral,0.9999999999999887,negativo_moderado,0.017241379310344827,20,DESCARTAR,GBP/BRL,2025-11-05 23:29:29
USD/CHF,USD,CHF,0.0,desconhecido,moderada,0.8089900016784668,0.8049450516700745,0.7968551516532898,0.8211248517036437,0.8332597017288208,lateral,0.9999999999999909,negativo_moderado,0.017241379310344827,20,DESCARTAR,USD/BRL,2025-11-05 23:29:29
USD/CAD,USD,CAD,0.0,desconhecido,moderada,1.4101300239562988,1.4030793738365173,1.3889780735969544,1.431281974315643,1.4524339246749878,lateral,0.9999999999999895,negativo_moderado,0.017241379310344827,20,DESCARTAR,USD/BRL,2025-11-05 23:29:29
