id,status,observacao
1001,IMPEDIDA,Erro de parsing de schema (docs)
1002,CONCLUÍDA,
1003,CONCLUÍDA,
1004,CONCLUÍDA,
1005,CONCLUÍDA,
1006,CONCLUÍDA,
1007,CONCLUÍDA,
1008,CONCLUÍDA,
1009,CONCLUÍDA,
1010,CONCLUÍDA,
1011,CONCLUÍDA,
1012,CONCLUÍDA,
1013,CONCLUÍDA,
1014,IMPEDIDA,Dependência externa indisponível (provedor de docs)
1015,CONCLUÍDA,
1016,CONCLUÍDA,
1017,CONCLUÍDA,
1018,CONCLUÍDA,
1019,CONCLUÍDA,
1020,CONCLUÍDA,
1021,CONCLUÍDA,
1022,CONCLUÍDA,
1023,CONCLUÍDA,
1024,CONCLUÍDA,
1025,CONCLUÍDA,
1026,CONCLUÍDA,
1027,IMPEDIDA,Ambiguidade de requisitos de documentação
1028,CONCLUÍDA,
1029,CONCLUÍDA,
1030,CONCLUÍDA,
1031,CONCLUÍDA,
1032,CONCLUÍDA,
1033,CONCLUÍDA,
1034,CONCLUÍDA,
1035,CONCLUÍDA,
1036,CONCLUÍDA,
1037,CONCLUÍDA,
1038,CONCLUÍDA,
1039,CONCLUÍDA,
1040,IMPEDIDA,Permissão insuficiente (acesso a repositório docs)
1041,CONCLUÍDA,
1042,CONCLUÍDA,
1043,CONCLUÍDA,
1044,CONCLUÍDA,
1045,CONCLUÍDA,
1046,CONCLUÍDA,
1047,CONCLUÍDA,
1048,CONCLUÍDA,
1049,CONCLUÍDA,
1050,CONCLUÍDA,
1051,CONCLUÍDA,
1052,CONCLUÍDA,
1053,IMPEDIDA,Conflito com decisão DECISAO-002 (docs)
1054,CONCLUÍDA,
1055,CONCLUÍDA,
1056,CONCLUÍDA,
1057,CONCLUÍDA,
1058,CONCLUÍDA,
1059,CONCLUÍDA,
1060,CONCLUÍDA,
1061,CONCLUÍDA,
1062,CONCLUÍDA,
1063,CONCLUÍDA,
1064,CONCLUÍDA,
1065,CONCLUÍDA,
1066,IMPEDIDA,Falha em integração cross-repo (docs)
1067,CONCLUÍDA,
1068,CONCLUÍDA,
1069,CONCLUÍDA,
1070,CONCLUÍDA,
1071,CONCLUÍDA,
1072,CONCLUÍDA,
1073,CONCLUÍDA,
1074,CONCLUÍDA,
1075,CONCLUÍDA,
1076,CONCLUÍDA,
1077,CONCLUÍDA,
1078,CONCLUÍDA,
1079,IMPEDIDA,Dados de teste inexistentes (docs)
1080,CONCLUÍDA,
1081,CONCLUÍDA,
1082,CONCLUÍDA,
1083,CONCLUÍDA,
1084,CONCLUÍDA,
1085,CONCLUÍDA,
1086,CONCLUÍDA,
1087,CONCLUÍDA,
1088,CONCLUÍDA,
1089,CONCLUÍDA,
1090,CONCLUÍDA,
1091,CONCLUÍDA,
1092,IMPEDIDA,Erro de parsing de schema (docs)
1093,CONCLUÍDA,
1094,CONCLUÍDA,
1095,CONCLUÍDA,
1096,CONCLUÍDA,
1097,CONCLUÍDA,
1098,CONCLUÍDA,
1099,CONCLUÍDA,
1100,CONCLUÍDA,
1101,CONCLUÍDA,
1102,CONCLUÍDA,
1103,CONCLUÍDA,
1104,CONCLUÍDA,
1105,IMPEDIDA,Dependência externa indisponível (provedor de docs)
1106,CONCLUÍDA,
1107,CONCLUÍDA,
1108,CONCLUÍDA,
1109,CONCLUÍDA,
1110,CONCLUÍDA,
1111,CONCLUÍDA,
1112,CONCLUÍDA,
1113,CONCLUÍDA,
1114,CONCLUÍDA,
1115,CONCLUÍDA,
1116,CONCLUÍDA,
1117,CONCLUÍDA,
1118,IMPEDIDA,Ambiguidade de requisitos de documentação
1119,CONCLUÍDA,
1120,CONCLUÍDA,
1121,CONCLUÍDA,
1122,CONCLUÍDA,
1123,CONCLUÍDA,
1124,CONCLUÍDA,
1125,CONCLUÍDA,
1126,CONCLUÍDA,
1127,CONCLUÍDA,
1128,CONCLUÍDA,
1129,CONCLUÍDA,
1130,CONCLUÍDA,
1131,IMPEDIDA,Permissão insuficiente (acesso a repositório docs)
1132,CONCLUÍDA,
1133,CONCLUÍDA,
1134,CONCLUÍDA,
1135,CONCLUÍDA,
1136,CONCLUÍDA,
1137,CONCLUÍDA,
1138,CONCLUÍDA,
1139,CONCLUÍDA,
1140,CONCLUÍDA,
1141,CONCLUÍDA,
1142,CONCLUÍDA,
1143,CONCLUÍDA,
1144,IMPEDIDA,Conflito com decisão DECISAO-002 (docs)
1145,CONCLUÍDA,
1146,CONCLUÍDA,
1147,CONCLUÍDA,
1148,CONCLUÍDA,
1149,CONCLUÍDA,
1150,CONCLUÍDA,
1151,CONCLUÍDA,
1152,CONCLUÍDA,
1153,CONCLUÍDA,
1154,CONCLUÍDA,
1155,CONCLUÍDA,
1156,CONCLUÍDA,
1157,IMPEDIDA,Falha em integração cross-repo (docs)
1158,CONCLUÍDA,
1159,CONCLUÍDA,
1160,CONCLUÍDA,
1161,CONCLUÍDA,
1162,CONCLUÍDA,
1163,CONCLUÍDA,
1164,CONCLUÍDA,
1165,CONCLUÍDA,
1166,CONCLUÍDA,
1167,CONCLUÍDA,
1168,CONCLUÍDA,
1169,CONCLUÍDA,
1170,IMPEDIDA,Dados de teste inexistentes (docs)
1171,CONCLUÍDA,
1172,CONCLUÍDA,
1173,CONCLUÍDA,
1174,CONCLUÍDA,
1175,CONCLUÍDA,
1176,CONCLUÍDA,
1177,CONCLUÍDA,
1178,CONCLUÍDA,
1179,CONCLUÍDA,
1180,CONCLUÍDA,
1181,CONCLUÍDA,
1182,CONCLUÍDA,
1183,IMPEDIDA,Erro de parsing de schema (docs)
1184,CONCLUÍDA,
1185,CONCLUÍDA,
1186,CONCLUÍDA,
1187,CONCLUÍDA,
1188,CONCLUÍDA,
1189,CONCLUÍDA,
1190,CONCLUÍDA,
1191,CONCLUÍDA,
1192,CONCLUÍDA,
1193,CONCLUÍDA,
1194,CONCLUÍDA,
1195,CONCLUÍDA,
1196,IMPEDIDA,Dependência externa indisponível (provedor de docs)
1197,CONCLUÍDA,
1198,CONCLUÍDA,
1199,CONCLUÍDA,
1200,CONCLUÍDA,
1201,CONCLUÍDA,
1202,CONCLUÍDA,
1203,CONCLUÍDA,
1204,CONCLUÍDA,
1205,CONCLUÍDA,
1206,CONCLUÍDA,
1207,CONCLUÍDA,
1208,CONCLUÍDA,
1209,IMPEDIDA,Ambiguidade de requisitos de documentação
1210,CONCLUÍDA,
1211,CONCLUÍDA,
1212,CONCLUÍDA,
1213,CONCLUÍDA,
1214,CONCLUÍDA,
1215,CONCLUÍDA,
1216,CONCLUÍDA,
1217,CONCLUÍDA,
1218,CONCLUÍDA,
1219,CONCLUÍDA,
1220,CONCLUÍDA,
1221,CONCLUÍDA,
1222,IMPEDIDA,Permissão insuficiente (acesso a repositório docs)
1223,CONCLUÍDA,
1224,CONCLUÍDA,
1225,CONCLUÍDA,
1226,CONCLUÍDA,
1227,CONCLUÍDA,
1228,CONCLUÍDA,
1229,CONCLUÍDA,
1230,CONCLUÍDA,
1231,CONCLUÍDA,
1232,CONCLUÍDA,
1233,CONCLUÍDA,
1234,CONCLUÍDA,
1235,IMPEDIDA,Conflito com decisão DECISAO-002 (docs)
1236,CONCLUÍDA,
1237,CONCLUÍDA,
1238,CONCLUÍDA,
1239,CONCLUÍDA,
1240,CONCLUÍDA,
1241,CONCLUÍDA,
1242,CONCLUÍDA,
1243,CONCLUÍDA,
1244,CONCLUÍDA,
1245,CONCLUÍDA,
1246,CONCLUÍDA,
1247,CONCLUÍDA,
1248,IMPEDIDA,Falha em integração cross-repo (docs)
1249,CONCLUÍDA,
1250,CONCLUÍDA,
1251,CONCLUÍDA,
1252,CONCLUÍDA,
1253,CONCLUÍDA,
1254,CONCLUÍDA,
1255,CONCLUÍDA,
1256,CONCLUÍDA,
1257,CONCLUÍDA,
1258,CONCLUÍDA,
1259,CONCLUÍDA,
1260,CONCLUÍDA,
1261,IMPEDIDA,Dados de teste inexistentes (docs)
1262,CONCLUÍDA,
1263,CONCLUÍDA,
1264,CONCLUÍDA,
1265,CONCLUÍDA,
1266,CONCLUÍDA,
1267,CONCLUÍDA,
1268,CONCLUÍDA,
1269,CONCLUÍDA,
1270,CONCLUÍDA,
1271,CONCLUÍDA,
1272,CONCLUÍDA,
1273,CONCLUÍDA,
1274,IMPEDIDA,Erro de parsing de schema (docs)
1275,CONCLUÍDA,
1276,CONCLUÍDA,
1277,CONCLUÍDA,
1278,CONCLUÍDA,
1279,CONCLUÍDA,
1280,CONCLUÍDA,
1281,CONCLUÍDA,
1282,CONCLUÍDA,
1283,CONCLUÍDA,
1284,CONCLUÍDA,
1285,CONCLUÍDA,
1286,CONCLUÍDA,
1287,IMPEDIDA,Dependência externa indisponível (provedor de docs)
1288,CONCLUÍDA,
1289,CONCLUÍDA,
1290,CONCLUÍDA,
1291,CONCLUÍDA,
1292,CONCLUÍDA,
1293,CONCLUÍDA,
1294,CONCLUÍDA,
1295,CONCLUÍDA,
1296,CONCLUÍDA,
1297,CONCLUÍDA,
1298,CONCLUÍDA,
1299,CONCLUÍDA,
1300,IMPEDIDA,Ambiguidade de requisitos de documentação
