id,status,observacao
2001,CONCLUÍDA,
2002,IMPEDIDA,Erro de parsing de schema (testes)
2003,CONCLUÍDA,
2004,CONCLUÍDA,
2005,CONCLUÍDA,
2006,CONCLUÍDA,
2007,CONCLUÍDA,
2008,CONCLUÍDA,
2009,CONCLUÍDA,
2010,CONCLUÍDA,
2011,CONCLUÍDA,
2012,CONCLUÍDA,
2013,CONCLUÍDA,
2014,CONCLUÍDA,
2015,IMPEDIDA,Dependência externa indisponível (testes)
2016,CONCLUÍDA,
2017,CONCLUÍDA,
2018,CONCLUÍDA,
2019,CONCLUÍDA,
2020,CONCLUÍDA,
2021,CONCLUÍDA,
2022,CONCLUÍDA,
2023,CONCLUÍDA,
2024,CONCLUÍDA,
2025,CONCLUÍDA,
2026,CONCLUÍDA,
2027,CONCLUÍDA,
2028,IMPEDIDA,Ambiguidade de requisitos de qualidade
2029,CONCLUÍDA,
2030,CONCLUÍDA,
2031,CONCLUÍDA,
2032,CONCLUÍDA,
2033,CONCLUÍDA,
2034,CONCLUÍDA,
2035,CONCLUÍDA,
2036,CONCLUÍDA,
2037,CONCLUÍDA,
2038,CONCLUÍDA,
2039,CONCLUÍDA,
2040,CONCLUÍDA,
2041,IMPEDIDA,Permissão insuficiente (acesso a testes)
2042,CONCLUÍDA,
2043,CONCLUÍDA,
2044,CONCLUÍDA,
2045,CONCLUÍDA,
2046,CONCLUÍDA,
2047,CONCLUÍDA,
2048,CONCLUÍDA,
2049,CONCLUÍDA,
2050,CONCLUÍDA,
2051,CONCLUÍDA,
2052,CONCLUÍDA,
2053,CONCLUÍDA,
2054,IMPEDIDA,Conflito com decisão DECISAO-002 (testes)
2055,CONCLUÍDA,
2056,CONCLUÍDA,
2057,CONCLUÍDA,
2058,CONCLUÍDA,
2059,CONCLUÍDA,
2060,CONCLUÍDA,
2061,CONCLUÍDA,
2062,CONCLUÍDA,
2063,CONCLUÍDA,
2064,CONCLUÍDA,
2065,CONCLUÍDA,
2066,CONCLUÍDA,
2067,IMPEDIDA,Falha em integração cross-repo (testes)
2068,CONCLUÍDA,
2069,CONCLUÍDA,
2070,CONCLUÍDA,
2071,CONCLUÍDA,
